grade,name_clean,sector,sector_clean,ascents,fos_ratio,recommendation,stars
7b+,Sword of trebenna,Trebenna West,Trebenna West,10,0.5,0.0,3
6c+,T.H.C.,Trebenna east,Trebenna West,29,0.45,0.14,3
6c+,TAC,Trebenna,Trebenna West,1,1.0,0.0,0
7c,Tanya,Trebenna,Trebenna West,1,1.0,0.0,0
7c,Tele Tabbia Tanja,Trebenna West,Trebenna West,170,0.49,0.06,3
7a,Terazi lastik jimnastik,Trebenna West,Trebenna West,503,0.66,0.12,3
7b+,Terazi lastik jimnastik (2. l),Trebenna West,Trebenna West,1,0.0,0.0,5
7c,The Gathering,Trebenna,Trebenna West,1,0.0,0.0,0
6c,Tozen,Trebena,Trebenna West,1,0.0,0.0,0
6c+,Trebenna,Trebenna West,Trebenna West,189,0.66,0.13,4
8b+,Trebenna,Trebenna West,Trebenna West,3,0.0,0.0,3
5b,Triologie,Trebenna West,Trebenna West,23,0.91,0.04,4
6a,Triologie,Trebenna West 4,Trebenna West,3,0.67,0.33,0
6b+,Triologie,Trebenna West,Trebenna West,283,0.84,0.05,3
7a,Triologie,Trebene,Trebenna West,53,0.76,0.13,3
8a+,Troja,Trebenna West,Trebenna West,47,0.17,0.04,3
6c,Tuzdede,Trebenna West,Trebenna West,130,0.71,0.08,3
6c+,Waiting for Holidays - extension,Trebenna West 2,Trebenna West,34,0.85,0.09,3
6b,Waiting for holidays,Trebenna West,Trebenna West,243,0.87,0.05,3
6b+,Waiting for holidays,Trebena,Trebenna West,3,1.0,0.0,0
5c,Westend,Trebenna West,Trebenna West,31,0.87,0.13,3
6b+,Westend,Trebenna West Extension,Trebenna West,23,0.66,0.17,4
7c+,White elephant,Trebenna east,Trebenna West,12,0.17,0.0,4
6b+,Who are you,Trebenna east,Trebenna West,24,0.79,0.16,2
7a,Willy Wancker,Trebenna east,Trebenna West,64,0.79,0.03,3
7c,Yin Yang,Trebenna West,Trebenna West,352,0.44,0.17,4
6b,Yüzüncü Trebenna,Trebenna West,Trebenna West,83,0.86,0.12,3
7c+,balcon,Trebenna West,Trebenna West,1,0.0,0.0,0
6b,fight buhcer,trebenna middle,Trebenna West,1,1.0,0.0,0
7b+,horny horse,Trebenna West,Trebenna West,34,0.21,0.15,3
6b+,newone wit 7a+ext,Trebenna east,Trebenna West,1,1.0,0.0,3
6a,outsider,Trebenna West,Trebenna West,22,0.96,0.09,2
6b,voie de droite,Trebenna,Trebenna West,4,0.75,0.0,0
7a,yeni rota,trabenna new,Trebenna West,1,1.0,0.0,0
7b,Soldan 12.,Trebenna/Patagonya,Trebenna/Patagonya,1,0.0,0.0,0
7b+,Soldan 12.,Trebenna/Patagonya,Trebenna/Patagonya,1,0.0,0.0,0
6b+,Adka Özlem,Turkish Standard,Turkish Standard,190,0.88,0.09,3
7b+,Cady Cane,Turkish Standard,Turkish Standard,13,0.46,0.08,4
6b+,Camelita,Turkish Standard,Turkish Standard,2,0.5,0.0,5
6c,Easy day,Turkish Standard,Turkish Standard,188,0.72,0.12,3
5a,Firtina,Turkish Standard,Turkish Standard,96,0.94,0.03,3
6b+,Gangster braut,Turkish Standard,Turkish Standard,148,0.67,0.08,3
7a+,Gossip,Turkish Standard,Turkish Standard,72,0.38,0.01,3
7b,Hunting Love,Turkish Standard,Turkish Standard,19,0.47,0.0,3
6a,In the Night,Turkish Standard,Turkish Standard,258,0.91,0.05,3
6c+,Inquisition,Turkish Standard,Turkish Standard,299,0.61,0.11,3
6a+,Julia & Romeo,Turkish Standard,Turkish Standard,247,0.82,0.05,3
7b,Julia & Romeo,Turkish Standard,Turkish Standard,12,0.33,0.0,2
6a+,Julia+Romeo,Turkish Standard,Turkish Standard,1,1.0,0.0,0
5b,Little Miss Sunshine,Turkish Standard,Turkish Standard,5,1.0,0.0,2
5b,Lo la,Turkish Standard,Turkish Standard,1,1.0,0.0,0
5a,Meltim,Turkish Standard,Turkish Standard,65,0.91,0.06,4
6c+,Mission to Mars,Turkish Standard,Turkish Standard,421,0.7,0.11,3
7b+,Mission to Mars L2,Turkish Standard,Turkish Standard,64,0.44,0.02,3
7a+,Monkey Mafia,Turkish Standard,Turkish Standard,160,0.34,0.07,3
6a+,Pathfinder,Turkish Standard,Turkish Standard,288,0.87,0.05,2
7b,Pathfinder,Turkish Standard,Turkish Standard,159,0.33,0.04,3
5c,Piano hands,Turkish Standard,Turkish Standard,157,0.85,0.05,3
7b,Pipis & Popos,Turkish Standard,Turkish Standard,104,0.32,0.1,3
6a+,Revolverheld,Turkish Standard,Turkish Standard,225,0.84,0.05,3
6c+,SBP,Turkish Standard,Turkish Standard,105,0.67,0.05,3
6c+,Siri birthday project,Turkish Standard,Turkish Standard,129,0.65,0.2,4
8a+,Star Wars,Türkisch Standart,Turkish Standard,11,0.0,0.36,4
7a,Sun express,Turkish Standard,Turkish Standard,378,0.68,0.17,4
6b+,Time Out,Turkish Standard,Turkish Standard,2,0.5,0.0,3
6b+,Turkish standard,Turkish Standard,Turkish Standard,430,0.74,0.16,4
7a,Zapfenstreich,Turkish Standard,Turkish Standard,122,0.35,0.06,3
7b,pipis and popos,Turkish Standard,Turkish Standard,1,1.0,0.0,0
5b,Blasehase,Yenicay,Yenicay,16,0.88,0.0,1
6a+,Blaupause,Yenicay,Yenicay,32,0.88,0.0,2
6b+,Bolder technical,Yenicay,Yenicay,2,0.5,0.0,0
7b+,Climbing Lovers,Yenicay,Yenicay,2,0.0,0.0,0
7a,Dustu Dusecek,Yenicay,Yenicay,9,0.33,0.11,1
7b+,Dü?tü Dü?ecek,Yenicay,Yenicay,6,0.67,0.0,1
4a,Harter Starter,Yenicay,Yenicay,12,1.0,0.0,0
5c,Harter Starter,Yenicay,Yenicay,17,0.94,0.0,2
6c,Morgenstund hat gold im mund,Yenicay,Yenicay,16,0.63,0.0,1
7a+,N.N. 4,Yeni Kanyon,Yenicay,1,0.0,0.0,5
5b,The sunnyside of chipsylife,Yenicay,Yenicay,17,0.94,0.0,1
7a+,Ach War Ich Doch...,Yilan,Yilan,31,0.55,0.07,3
7a,Camelita,Yilan,Yilan,369,0.59,0.08,3
7a+,Dropzone,Yilan,Yilan,151,0.54,0.05,3
6b,Döngel Müzikhol,Yilan,Yilan,77,0.9,0.08,3
6b,El Nino,Yilan,Yilan,68,0.93,0.13,3
7c,First Klaas,Yilan,Yilan,88,0.29,0.16,4
6b+,Hadi Predel,Yilan,Yilan,81,0.86,0.1,4
7a,Hortum,Yilan,Yilan,217,0.46,0.12,3
7a+,Kan Izi,Yilan,Yilan,46,0.37,0.02,3
6b,Kolay Gelsin,Yilan,Yilan,53,0.88,0.08,3
6b+,Lucky Punch,Yilan,Yilan,159,0.8,0.08,3
6b,Mr. What What,Yilan,Yilan,44,0.82,0.1,3
7b,Showdown,Yilan,Yilan,73,0.14,0.06,3
6a+,Yilan,Yilan,Yilan,181,0.88,0.06,3
6b,Ay,Zeytinlik,Zeytinlik,2,1.0,0.0,0
6a,Ekmek,Zeytinlik,Zeytinlik,1,1.0,0.0,3
6a,Kardes,Zeytinlik,Zeytinlik,1,0.0,1.0,5
6a,Taciz,Zeytinlik,Zeytinlik,1,0.0,1.0,5
6a+,VIIIa,Zeytinlik,Zeytinlik,1,1.0,0.0,0
4c,Zeytin,Zeytinlik,Zeytinlik,2,1.0,0.0,4
6a,Nulle part ailleurs,de que fas aqui?,de que fas aqui?,1,1.0,1.0,5
4a,derin çatlak 2,derin çatlak,derin çatlak,1,1.0,0.0,0
4a,diagonal,derin çatlak,derin çatlak,1,1.0,0.0,0
8c,Electronic Athletes,eches right,eches right,3,0.0,0.0,5
8a+,Respect,Echoes Rıght,eches right,2,0.0,0.0,5
7b+,KP,güsel,güsel,2,0.5,0.0,5
7c,Beatz & Pieces,kaplumbağa,kaplumbağa,2,0.0,0.0,5
7c,Boriinator,kaplumbağa,kaplumbağa,4,0.0,0.25,5
6c+,Turkey Love,kaplumbağa,kaplumbağa,2,0.0,0.5,4
7c+,Angel on the line,laboratuvar,laboratuvar,3,0.0,0.33,4
8c,Forgotten Knight,laboratuvar,laboratuvar,5,0.0,0.4,3
6b+,Hero,laboratuvar,laboratuvar,15,0.6,0.2,3
7a,Jazz Bass,laboratuvar,laboratuvar,23,0.57,0.04,3
8b,Moruk,Laboratuar,laboratuvar,24,0.04,0.13,4
6c,Rock superstar,laboratuvar,laboratuvar,19,0.47,0.05,3
6b,Unicycle,laboratuvar,laboratuvar,1,0.0,0.0,5
6c,hmmm1,new,new,1,1.0,0.0,0
6c+,hmmm1,new,new,1,1.0,0.0,0
7a,hmmm1,new,new,1,0.0,0.0,0
7b,hmmm1,new,new,1,0.0,0.0,0
8a+,rido 20,okuzini cave,okuzini cave,3,0.0,0.67,3
