grade,name,name_clean,sector,sector_clean,ascents,fos_ratio,recommendations,stars
5b,Belgeli,,Koridor,Koridor,19,90 %,21 %,4
6a+,İncinmişsin,,Top Alanı,Top Alanı,19,74 %,21 %,4
7b,Hunting Love,,Turkish Standard,Turkish Standard,19,47 %,0 %,3
6c,Bysance,,Barbarossa,Barbarossa,18,72 %,6 %,4
6b+,Punk,,Cesme,Cesme,18,67 %,17 %,4
7a,N.N.,,Magara,Magara,18,67 %,0 %,3
4a,Tutti Frutti,,Kebap,Kebap,18,78 %,0 %,2
7b,Kalhi cat,,Trebenna east,Trebenna West,18,67 %,6 %,4
6a,111,,Gizmo,Gizmo,18,100 %,6 %,4
6c+,Second life,,Trebenna West,Trebenna West,18,61 %,0 %,3
5c,Havana Club,,Alabalik Balkon,Alabalik,18,89 %,28 %,4
6b+,Brio de Flamenco (L2),,Barbarossa,Barbarossa,18,94 %,6 %,4
5c,Ith feeling,,Gizmo,Gizmo,18,83 %,22 %,3
6c,Desperation,,Kanyon,Kanyon,18,39 %,6 %,3
6c+,Cerveza,,Patagonia,Patagonia,18,72 %,11 %,3
7a,Özge,,Alabalik,Alabalik,18,72 %,0 %,3
6b,Fado,,Gizmo,Gizmo,18,83 %,11 %,3
7b+,New fucking Generation,,Ruzgarli Bahce,Rüzgarli Bahçe,18,33 %,28 %,4
6a+,Catch me if you can,,Heart,Heart,17,53 %,0 %,1
7c,Suskunlar,,Küllüin,Küllüin,17,24 %,6 %,3
6b,Kelebek,,Geyik,Geyik,17,65 %,0 %,1
6b,Der steip der geiss,,Gizmo,Gizmo,17,94 %,0 %,2
5b,MusicMan,,Kebap,Kebap,17,94 %,0 %,3
5b,The sunnyside of chipsylife,,Yenicay,Yenicay,17,94 %,0 %,1
5c,Harter Starter,,Yenicay,Yenicay,17,94 %,0 %,2
6b,Dumplupinar,,Mevlana,Mevlana,17,41 %,6 %,4
7c,Ahmilena,,Küllüin,Küllüin,17,18 %,6 %,3
