grade,name,name_clean,sector,sector_clean,ascents,fos_ratio,recommendations,stars
7c,Geyikbayırı Games (2. pitch),,Sarkit,Sarkit,3,0 %,67 %,4
6b+,Schach matt ext.,,Dragon,Dragon,3,100 %,33 %,4
6c,Right of 69,,Kanyon,Kanyon,3,33 %,33 %,4
8b+,Colors,,Küllüin,Küllüin,3,0 %,67 %,5
7b+,Bysance,,Barbarossa,Barbarossa,3,33 %,0 %,4
5c,babylon (1L),,Geyik,Geyik,3,100 %,0 %,4
7c+,Angel on the line,,laboratuvar,laboratuvar,3,0 %,33 %,4
8c,Electronic Athletes,,eches right,eches right,3,0 %,0 %,5
8b+,Trebenna,,Trebenna West,Trebenna West,3,0 %,0 %,3
5c,Kopekler Bale Yapmaz,,Teras Left,Teras Left,3,33 %,0 %,0
6b,Kapten Hook,,Sincap,Sincap,3,0 %,0 %,4
6b+,Melodram,,Sarkit,Sarkit,3,0 %,33 %,5
7c+,Arc'terix,,Alabalik Balkon,Alabalik,3,67 %,33 %,4
7b,Pour some sugar on me,,Top Alanı sağ,Top Alanı,3,100 %,33 %,4
7a,skorpion,,Gizmo,Gizmo,3,33 %,0 %,5
5a,Sheep in the keep L1,,Alabalik Balcon,Alabalik,3,100 %,0 %,0
6b+,Mealstrom,,Anatolia,Anatolia,3,67 %,0 %,2
6a,Firizbi,,Koridor,Koridor,3,100 %,0 %,3
5c+,Part time hippy,,Küllin1,Küllüin,3,33 %,33 %,5
6c+,Bolting Antalya,,Gizlibahce,Gizlibahce,3,100 %,67 %,4
6a,Conglomarist,,Trebenna east,Trebenna West,3,100 %,0 %,4
5c,Lycan Highway,,Trebenna West,Trebenna West,3,67 %,0 %,0
5b,kardes,,Unknown Sector,Unknown Sector,2,50 %,50 %,5
6b,Ay,,Zeytinlik,Zeytinlik,2,100 %,0 %,0
7b+,KP,,güsel,güsel,2,50 %,0 %,5
7c,Beyond Confusion,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
7a+,N.N.,,Dragon,Dragon,2,50 %,0 %,1
7a+,N.N. (bartabas),,Mevlana,Mevlana,2,50 %,0 %,0
7a+,Atatürk,,Akdeniz,Akdeniz,2,50 %,0 %,3
5c,Kýþ Uykusu,,Deli Kasap,Deli Kasap,2,0 %,0 %,0
7b,N.N.,,Dragonfly,Dragon,2,100 %,0 %,5
6a+,Just in time,,Kebap,Kebap,2,100 %,0 %,0
5c,Mücahit,,Kebap,Kebap,2,100 %,0 %,0
6c,Grasshüpfer,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
6a+,Barbarossa 12,,Barbarossa,Barbarossa,2,100 %,0 %,0
4c,N.N.,,Left Cave Left,Left Cave,2,100 %,0 %,0
7a+,N.N.,,Left Cave,Left Cave,2,50 %,0 %,0
6b,Dumlupinar,,Unknown Sector,Unknown Sector,2,50 %,0 %,2
6b+,N.N.,,Küllüin,Küllüin,2,100 %,0 %,5
7a+,Pharohs Curse,,Trebenna West,Trebenna West,2,50 %,50 %,3
6b+,Sirdan Dolmsi,,Sarkit,Sarkit,2,0 %,0 %,5
6b,Sleva,,Dragon,Dragon,2,100 %,0 %,0
7a,N.N.,,Alaaddin,Alaaddin,2,50 %,0 %,0
7a+,New route right of Sucker Punched,,Trebenna West,Trebenna West,2,50 %,0 %,3
8a+,crack the system,,Kekik,Geyik,2,0 %,0 %,4
6b+,Time Out,,Turkish Standard,Turkish Standard,2,50 %,0 %,3
6c,Kakut,,Unknown Sector,Unknown Sector,2,50 %,0 %,5
6b+,mum işığında yemek sol,,Magara,Magara,2,50 %,0 %,0
7c+,�zlem,,Alabalik,Alabalik,2,50 %,0 %,5
6b,L 'Homme al 'Enners,,Alabalik,Alabalik,2,100 %,0 %,4
6c+,tuz dede,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
7c,In to the Wild,,Unknown Sector,Unknown Sector,2,50 %,0 %,5
6a+,Sonnenelfe,,Güzel Manzara,Güzel Manzara,2,100 %,50 %,4
7c+,Orient express extantion,,Unknown Sector,Unknown Sector,2,0 %,0 %,0
5c,Butteerfly Boulevard,,Alabalik,Alabalik,2,50 %,0 %,0
7a,GUNAH,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
7b+,Climbing Lovers,,Yenicay,Yenicay,2,0 %,0 %,0
6a+,Choregraphie Violente,,Trebenna West,Trebenna West,2,50 %,0 %,0
6a+,La porte de pondes,,Toki,Toki,2,100 %,0 %,0
6c,Ali Baba Ve Kirk Haramiller,,Cesme Sol (Left),Cesme,2,100 %,0 %,0
7b,Rattelsnake Saloon,,Unknown Sector,Unknown Sector,2,50 %,0 %,4
7a,Halifenin yerindeki,,Barbarossa,Barbarossa,2,100 %,50 %,5
5b,Ikiz,,Unknown Sector,Unknown Sector,2,50 %,50 %,5
6a,Sado Maso,,Anatolia,Anatolia,2,50 %,0 %,0
6b+,sincapyolu,,Unknown Sector,Unknown Sector,2,50 %,0 %,3
6b+,Sultanatimet,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
7a,Left to Efe Cemal,,Küllüin,Küllüin,2,100 %,0 %,0
7a,bizim canımız yanmaz gardas,,trebbana,Trebenna West,2,100 %,0 %,0
6c,"Tenten konglomera""da",,Mevlana,Mevlana,2,50 %,0 %,0
8a,Melting Souls,,Unknown Sector,Unknown Sector,2,100 %,0 %,3
6a+,Amelos,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
5c,Southern Comfort,,Sandal,Sandal,2,100 %,50 %,5
6c+,Şili 'ye özgürlük,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
7a+,N/N,,Esekuctu,Esekuctu,2,100 %,50 %,5
7a,N.N.,,Esekuctu,Esekuctu,2,100 %,50 %,5
6a+,In drum,,Küllüin,Küllüin,2,100 %,0 %,0
6b+,Flintstone Extension,,Anatolia,Anatolia,2,100 %,0 %,2
7c+,Recycle,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
7b,Rock republic,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
8a,Havanna Club,,Alabalik,Alabalik,2,0 %,0 %,0
6a+,Woodpecker from mars,,Koridor,Koridor,2,50 %,0 %,4
6a,60 is the 30,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
6b,Rocket pie,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
6b+,Takoz,,Unknown Sector,Unknown Sector,2,100 %,0 %,5
7a,Bartabas,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
6b+,Barbarossa 15,,Barbarossa,Barbarossa,2,100 %,0 %,0
7a,Grashüpfer,,Trebenna West,Trebenna West,2,50 %,0 %,0
5c,Henkelei,,Unknown Sector,Unknown Sector,2,100 %,50 %,5
7a,Never Kiss aDog,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
7a+,"Save the planet, kill gourself",,Trebenna West/Right,Trebenna West,2,100 %,0 %,0
6c,Afterparty,,Küllüin,Küllüin,2,0 %,0 %,0
6a,Spider solitaire,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
6c,N.N.,,Trebenna,Trebenna West,2,100 %,0 %,0
6c+,rüzgarlý bahçe,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
5a,Cekosmatik Silikon,,Kebap Left,Kebap,2,100 %,0 %,1
7a+,Pockerface,,Sarkit,Sarkit,2,100 %,0 %,0
7a+,Dejeneratyon,,Rüzgarli Bahçe,Rüzgarli Bahçe,2,100 %,50 %,5
7b,Matbiam,,Unknown Sector,Unknown Sector,2,100 %,0 %,4
5a,N.N.,,Sincap,Sincap,2,100 %,0 %,0
6c,East End,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
6b,Hadi Sit,,Geyik bayiri,Geyik,2,100 %,0 %,0
6b,Happy birthday Tobbi,,Right cave,Right cave,2,50 %,0 %,0
7a+,Poker face,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
7c,Salamin Aleykum,,Unknown Sector,Unknown Sector,2,0 %,0 %,5
6a,N.N.,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
7c,American airlines,,Unknown Sector,Unknown Sector,2,0 %,0 %,5
6b,Mr.What What,,Yilan,Yilan,2,100 %,0 %,4
5c,Fotogene Route,,Barbarossa,Barbarossa,2,100 %,0 %,0
7a+,save planet kill yourself,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
7a+,Ramin/Bird of Prey,,Magara,Magara,2,50 %,0 %,0
7b+,Sobotaj,,Magara,Magara,2,0 %,50 %,5
6a,N.N. 13,,Anatolia Right,Anatolia,2,50 %,0 %,5
7b,Diplomarbeit,,Unknown Sector,Unknown Sector,2,0 %,0 %,4
7b,Turkiye' ye,,Mevlana,Mevlana,2,50 %,0 %,0
7a+,Nemo,,Unknown Sector,Unknown Sector,2,0 %,0 %,0
7a,Camelita,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
6b,Dumlipunar,,Mevlana,Mevlana,2,50 %,0 %,0
7a+,Firespire,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
6b+,saksofon,,Unknown Sector,Unknown Sector,2,50 %,0 %,4
6c,Es Sahaf,,Ottoman,Ottoman,2,100 %,0 %,0
6b+,N.N.,,Trebena,Trebenna West,2,50 %,0 %,0
6b+,Welcom baby,,Ottoman,Ottoman,2,50 %,0 %,1
6a+,No reservation,,Kulluin Taras,Kulluin Taras,2,100 %,0 %,0
7a+,"L,Empire Ottomann",,Ottoman,Ottoman,2,100 %,0 %,2
7a+,Red Tank,,Unknown Sector,Unknown Sector,2,50 %,0 %,4
4a,kurze romance,,Gizmo 1,Gizmo,2,100 %,0 %,3
6a+,No Reservatione,,Küllüin,Küllüin,2,100 %,0 %,0
7c,Beatz & Pieces,,kaplumbağa,kaplumbağa,2,0 %,0 %,5
6b+,teenager on game,,Citdibi,Citdibi,2,100 %,0 %,0
6b+,Bolder technical,,Yenicay,Yenicay,2,50 %,0 %,0
6c,Antalya icin 747 nolu icus,,Mevlana,Mevlana,2,50 %,0 %,0
6b,Der Steip Der Geib,,Gizmo 1,Gizmo,2,100 %,0 %,0
7a,sunexpress,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
6b+,mum isiginda yemek left,,Magara,Magara,2,100 %,0 %,0
6c+,Semzen,,Mevlana,Mevlana,2,100 %,0 %,3
7a,Sucker Punched,,Unknown Sector,Unknown Sector,2,100 %,50 %,5
7a+,Zalia,,Unknown Sector,Unknown Sector,2,50 %,0 %,3
7a+,Geyikbayiri Jazzband,,Sarkit,Sarkit,2,50 %,0 %,2
5c,An.Ni.Ka.,,Trebenna east,Trebenna West,2,50 %,50 %,1
7c+,Öküz öküz,,Unknown Sector,Unknown Sector,2,50 %,0 %,5
6c+,Turkey Love,,kaplumbağa,kaplumbağa,2,0 %,50 %,4
6c+,Dance with the Goats,,Unknown Sector,Unknown Sector,2,100 %,0 %,3
6c,devamend,,Poseidon,Poseidon,2,50 %,0 %,0
7b,Legenden Einer Leidenschaft,,Unknown Sector,Unknown Sector,2,100 %,0 %,4
6a+,Halifenin yerideki halife,,Barbarossa,Barbarossa,2,100 %,0 %,0
7a+,Bird of prey,,Mevlana,Mevlana,2,100 %,0 %,5
6a,Ana ist weg,,Kulluin Teras,Kulluin Taras,2,50 %,0 %,0
7c,Moonraker,,Moon,Moon,2,0 %,0 %,0
7b,Climb Now,,Alabalik balkon 4,Alabalik,2,100 %,0 %,1
6a,Pambe Hayaller,,Alabalik Balkon,Alabalik,2,50 %,0 %,0
7a+,"Blood,Sweat & Tears",,Gizmo,Gizmo,2,0 %,0 %,0
6a+,Muchahit,,Mandela,Mandela,2,100 %,0 %,4
6b,Alter Schutz Vor Bohrheit Nicht,,Gizmo,Gizmo,2,50 %,0 %,5
6c+,Kaye ve reis,,Alabalik,Alabalik,2,50 %,0 %,5
6c,Zlatai ducat,,Toki,Toki,2,100 %,0 %,0
5a,Dirty route,,Trebenna new,Trebenna West,2,100 %,0 %,0
7c,Arsenik,,Unknown Sector,Unknown Sector,2,0 %,0 %,4
7a+,Amele,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
5c,Ith feeling,,Unknown Sector,Unknown Sector,2,100 %,0 %,3
6b,Yüzücü Trebenna,,Trebenna West Extention 2,Trebenna West,2,100 %,0 %,0
6b,Sheep in the Keep,,Unknown Sector,Unknown Sector,2,0 %,50 %,3
5c,Solero,,Unknown Sector,Unknown Sector,2,50 %,50 %,5
5c,Butterfly Boulevard,,Unknown Sector,Unknown Sector,2,100 %,50 %,3
7a+,Serbesti stil,,Alabalik,Alabalik,2,0 %,0 %,5
7c+,Into the wild extension,,Trebenna West,Trebenna West,2,50 %,0 %,5
6b+,Camelita,,Turkish Standard,Turkish Standard,2,50 %,0 %,5
7b,Rattlessnake Salon,,Trebena West,Trebenna West,2,100 %,0 %,1
7b,Mum isiginda yemek,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
6b,Hasel,,Trebenna West,Trebenna West,2,50 %,0 %,0
7a,Chili con Pillar right,,Alabalik,Alabalik,2,50 %,0 %,1
7b,Rattlesnake Saldon,,Trebenna West 2,Trebenna West,2,50 %,0 %,0
7a,terazi lastik gimnastik,,Trebenna,Trebenna West,2,50 %,0 %,0
6c,Bagdad caf�,,Poseidon,Poseidon,2,50 %,0 %,3
5c,Alladin in Lambasi,,Sarkit,Sarkit,2,100 %,0 %,0
5a,Little girl sunshine,,Sarkit,Sarkit,2,100 %,0 %,0
6a,Pambe Hayaller,,Alabalik Balkon,Alabalik,2,50 %,0 %,0
7a+,"Blood,Sweat & Tears",,Gizmo,Gizmo,2,0 %,0 %,0
6a+,Muchahit,,Mandela,Mandela,2,100 %,0 %,4
6b,Alter Schutz Vor Bohrheit Nicht,,Gizmo,Gizmo,2,50 %,0 %,5
6c+,Kaye ve reis,,Alabalik,Alabalik,2,50 %,0 %,5
6c,Zlatai ducat,,Toki,Toki,2,100 %,0 %,0
5a,Dirty route,,Trebenna new,Trebenna West,2,100 %,0 %,0
7c,Arsenik,,Unknown Sector,Unknown Sector,2,0 %,0 %,4
7a+,Amele,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
5c,Ith feeling,,Unknown Sector,Unknown Sector,2,100 %,0 %,3
6b,Yüzücü Trebenna,,Trebenna West Extention 2,Trebenna West,2,100 %,0 %,0
6b,Sheep in the Keep,,Unknown Sector,Unknown Sector,2,0 %,50 %,3
5c,Solero,,Unknown Sector,Unknown Sector,2,50 %,50 %,5
5c,Butterfly Boulevard,,Unknown Sector,Unknown Sector,2,100 %,50 %,3
7a+,Serbesti stil,,Alabalik,Alabalik,2,0 %,0 %,5
7c+,Into the wild extension,,Trebenna West,Trebenna West,2,50 %,0 %,5
6b+,Camelita,,Turkish Standard,Turkish Standard,2,50 %,0 %,5
7b,Rattlessnake Salon,,Trebena West,Trebenna West,2,100 %,0 %,1
7b,Mum isiginda yemek,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
6b,Hasel,,Trebenna West,Trebenna West,2,50 %,0 %,0
6b,Mistaken,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
6b,Marlboro man,,Sincap,Sincap,2,50 %,50 %,4
8a,Kırmızı,,Unknown Sector,Unknown Sector,2,0 %,50 %,5
8a+,Respect,,Echoes Rıght,eches right,2,0 %,0 %,5
7a+,Goofy,,Unknown Sector,Unknown Sector,2,50 %,0 %,3
7c+,Saklıkent Uzatma,,Unknown Sector,Unknown Sector,2,50 %,0 %,0
7a+,Sagdan 2. Rota,,Koridor,Koridor,2,50 %,0 %,3
7c+,Air and style 2.L,,Anatolia Sag,Anatolia,2,0 %,0 %,3
6b+,Bermuda pereieck (1p),,Trebenna east,Trebenna West,2,50 %,50 %,4
4c,Aorta,,Heart,Heart,2,100 %,0 %,0
8a+,Berkin Anisina,,Trebenna West,Trebenna West,2,0 %,0 %,4
7c,Problem Yok,,Unknown Sector,Unknown Sector,2,50 %,0 %,4
7b,Bienal Extantion,,Toki,Toki,2,0 %,0 %,3
6c,on right to toxic gravity,,Left Cave,Left Cave,2,100 %,0 %,5
5c,Foxy lady,,Top Alanı,Top Alanı,2,100 %,0 %,3
6a,between cosmic girl and imagination,,Sarkit,Sarkit,2,50 %,50 %,5
4c,Zeytin,,Zeytinlik,Zeytinlik,2,100 %,0 %,4
6b,left to Birt,,Kanyon,Kanyon,2,100 %,100 %,5
6c+,Left of Boltrain Efendisi,,Kanyon,Kanyon,2,100 %,50 %,4
6a,"1,5",,Sincap,Sincap,2,50 %,0 %,0
6c,Ali Baba Ve Kirk Haramiller,,Cesme Sol (Left),Cesme,2,100 %,0 %,0
7b,Rattelsnake Saloon,,Unknown Sector,Unknown Sector,2,50 %,0 %,4
7a,Halifenin yerindeki,,Barbarossa,Barbarossa,2,100 %,50 %,5
5b,Ikiz,,Unknown Sector,Unknown Sector,2,50 %,50 %,5
6a,Sado Maso,,Anatolia,Anatolia,2,50 %,0 %,0
6b+,sincapyolu,,Unknown Sector,Unknown Sector,2,50 %,0 %,3
6b+,Sultanatimet,,Unknown Sector,Unknown Sector,2,100 %,0 %,0
7a,Left to Efe Cemal,,Küllüin,Küllüin,2,100 %,0 %,0
7a,bizim canımız yanmaz gardas,,trebbana,Trebenna West,2,100 %,0 %,0
6c,"Tenten konglomera""da",,Mevlana,Mevlana,2,50 %,0 %,0
5b,Pichnibulle,,Poseidon,Poseidon,2,100 %,0 %,0
6b+,Maelstrom,,Anatolia,Anatolia,2,100 %,0 %,3
7a,cresendo,,Mevlana,Mevlana,2,0 %,0 %,0
6c+,Samuel,,Left Cave,Left Cave,2,0 %,0 %,3
6a,Left to Biscolatta,,Trebenna east,Trebenna West,2,100 %,50 %,5
6a,S�t Cocugu,,Sarkit,Sarkit,2,50 %,0 %,5
6c+,Stay Confused,,Anatolia,Anatolia,2,100 %,0 %,4
6c+,İlahi adalet,,Gizlibahce,Gizlibahce,2,100 %,50 %,4
6b,Poker yüzlü,,Top Alanı,Top Alanı,2,100 %,0 %,0
7b,Bir şey mi dedin Pavarotti,,Gizlibahce,Gizlibahce,2,50 %,0 %,3
6c+,Samuel,,Left Cave,Left Cave,2,0 %,0 %,3
7a,cresendo,,Mevlana,Mevlana,2,0 %,0 %,0
6a,Haevensgate,,Left Cave,Left Cave,2,100 %,0 %,0
6b,Poker yüzlü,,Top Alanı,Top Alanı,2,100 %,0 %,0
6c+,İlahi adalet,,Gizlibahce,Gizlibahce,2,100 %,50 %,4
6a+,Of she goes,,Koridor,Koridor,2,100 %,0 %,2
7a+,Dekadans,,Cesme,Cesme,2,0 %,0 %,4
6c+,Zen Yoga,,Ottoman,Ottoman,2,50 %,50 %,5
7b,Bir şey mi dedin Pavarotti,,Gizlibahce,Gizlibahce,2,50 %,0 %,3
7b,Celik Kalp,,Anatolia,Anatolia,2,50 %,0 %,0
6c,Pichnibulle,,Poseidon,Poseidon,2,0 %,50 %,5
7a,N.N. (Project),,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6c+,Rock super star,,Unknown Sector,Unknown Sector,1,0 %,0 %,3
6c,N.N. (voie Piola),,Unknown Sector,Unknown Sector,1,100 %,0 %,3
7c,N.N. (Variante),,Unknown Sector,Unknown Sector,1,100 %,0 %,3
6a+,Suzanne's mood,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,Kaya,,Unknown Sector,Unknown Sector,1,0 %,0 %,3
4a,Mektep,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,Gravity Games,,Unknown Sector,Unknown Sector,1,0 %,0 %,3
6c+,GLYMANOTURYS,,Unknown Sector,Unknown Sector,1,0 %,0 %,5
7a,Bala,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,N.N. (north face),,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6c+,WHITE STREAK,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6c,Inordan,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,Ramazotti Club,,Sarkit,Sarkit,1,100 %,0 %,5
7c+,N.N.,,güzel mansara,Güzel Manzara,1,0 %,0 %,0
8a,N.N.,,güzal mansara,Güzel Manzara,1,0 %,0 %,0
5c,Mermaid,,Cennet,Cennet,1,100 %,0 %,0
6a+,Bismillah,,Cennet,Cennet,1,0 %,0 %,0
7a,N.N. (new route on pillar at Trebenna),,Unknown Sector,Unknown Sector,1,100 %,0 %,3
6a,N.N. (to the right of kinetic koncert),,Unknown Sector,Unknown Sector,1,100 %,0 %,3
6b,fight buhcer,,trebenna middle,Trebenna West,1,100 %,0 %,0
7b,elise,,Trebenna West,Trebenna West,1,100 %,0 %,0
6a,Top Gear,,Alabalik,Alabalik,1,0 %,0 %,0
6a+,Sonnenhelfe,,Güzel Manzara,Güzel Manzara,1,0 %,0 %,0
6b,Baraz feltin,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7b+,PROFESSIONAL FUCKERS,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7a,korotkiy sleva,,Mevlana,Mevlana,1,0 %,0 %,0
7b+,scientist,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7c+,Colomania,,Oekuezini,Oekuezini,1,100 %,100 %,5
6b,kolay geysin,,Unknown Sector,Unknown Sector,1,0 %,100 %,0
7a+,High Hope,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6a+,Alabalýk,,Alabalik,Alabalik,1,0 %,0 %,0
7b+,N.N. (white),,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7b,Cennet reloaded,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
7b+,N.N.,,Trebenna West,Trebenna West,1,0 %,0 %,5
6c,N.N. (es sahhaf)left),,Ottoman,Ottoman,1,100 %,0 %,0
6b+,N.N.,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7c,Develdance,,Alabalik,Alabalik,1,0 %,0 %,1
7a,Pendent 2,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6c+,Pendent 3,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6a+,VIIIa,,Zeytinlik,Zeytinlik,1,100 %,0 %,0
7a+,Piolla 2008,,Mevlana,Mevlana,1,100 %,0 %,0
7a,N.N. (c),,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7a,N.N.,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7c+,balcon,,Trebenna West,Trebenna West,1,0 %,0 %,0
7b,Luna Park Perseus,,Left Cave,Left Cave,1,0 %,0 %,5
6a+,Bismihilla,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b,N.N. (nueva)L1+L2),,Barbarossa,Barbarossa,1,100 %,0 %,0
7a+,Pendent 1,,Unknown Sector,Unknown Sector,1,0 %,0 %,5
7a,N.N.,,Trebenna right,Trebenna West,1,100 %,0 %,3
7b,N.N. (Some roof with jamming at top),,Trebenna West,Trebenna West,1,100 %,0 %,3
6b,N.N.,,Alaaddin,Alaaddin,1,100 %,0 %,0
6a+,Kür Kür,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6c+,Ver Liebt Nach Anne,,Deli Kasap,Deli Kasap,1,0 %,0 %,0
7a,N.N. (new 06-06-08),,Trebenna,Trebenna West,1,100 %,0 %,3
6a,N.N. (new),,Cesme,Cesme,1,100 %,100 %,1
7a,N.N.,,Trebenna West,Trebenna West,1,0 %,0 %,5
7a,Ny tur,,Trebenna West,Trebenna West,1,100 %,0 %,1
7a,N.N. (V),,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6b,Bellafront,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,Diplomarbeit,,Trebenna,Trebenna West,1,0 %,100 %,0
6a,N.N.,,Trebenna West,Trebenna West,1,100 %,0 %,0
7a,Polish Joke,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
5c,Angel,,Cennet,Cennet,1,100 %,0 %,0
5c,Deja vú,,Cennet,Cennet,1,100 %,0 %,0
5c,Wicked Game,,Cennet,Cennet,1,100 %,0 %,0
7c,Maymun salyncagi,,Right cave,Right cave,1,0 %,0 %,5
5c,N.N.,,Akyalar,Akyalar,1,100 %,0 %,0
7a+,Upper Cave New Overhang,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7b,Ela,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a+,neue Route Cave,,Sarkit,Sarkit,1,100 %,0 %,3
5b,N.N.,,leftcave,Left Cave,1,0 %,0 %,0
6a,alaaddin in lambassi,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6b,Seyazgeln,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7c+,huy znayet zabyl,,Left Cave,Left Cave,1,0 %,0 %,0
7b+,Huyaki Akbar,,Sarkit,Sarkit,1,100 %,0 %,0
7c,Homeward Bound,,Unknown Sector,Unknown Sector,1,0 %,0 %,5
7b,Into to the wild extension,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
8a,Go Milk a Cambodian,,Trebenna,Trebenna West,1,0 %,0 %,0
6b+,Kabilin Ucurtmalari,,Alabalik,Alabalik,1,100 %,0 %,3
6b+,N.N. (right from Eclipse),,Trebenna West,Trebenna West,1,100 %,0 %,0
6b,N.N. (mevlana-barbarosa arası yeni rota),,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7c,S-Classe,,Trabenna,Trebenna West,1,0 %,0 %,5
7c,Schültel dein Speck,,Unknown Sector,Unknown Sector,1,0 %,0 %,5
7b,Session Of Happiness L2,,Anatolia,Anatolia,1,100 %,0 %,0
6c,Antalya Icin,,Mevlana,Mevlana,1,100 %,0 %,3
7a,brazilia caranval,,Alabalik,Alabalik,1,100 %,0 %,0
6b,Dürrem Sultan,,Barbarossa,Barbarossa,1,100 %,0 %,5
7a,Fight the Butcher,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6c,Bagdad Cafe,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6c+,Noel Baba,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6b+,Hadi Predel,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
7b+,Düstü Düsecek,,Unknown Sector,Unknown Sector,1,0 %,0 %,3
7a,Efe Cemal,,Unknown Sector,Unknown Sector,1,0 %,0 %,3
6c,Ipak Yolu,,Poseidon,Poseidon,1,100 %,100 %,0
6b,Ehe cemal,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
5c,N.N.,,Küllüin,Küllüin,1,100 %,0 %,0
6c+,Second l?ve,,Trebenna West,Trebenna West,1,100 %,0 %,0
6c+,Ce n'est pas bleu,,Ruzgarli Left,Ruzgarli Left,1,100 %,0 %,0
7c+,fun on the Sun,,Mevlana,Mevlana,1,0 %,0 %,5
7c,Ten Ten Konglomera'da,,Unknown Sector,Unknown Sector,1,100 %,0 %,3
5c,Welkome baby,,Ottoman,Ottoman,1,100 %,0 %,0
7b,pipis and popos,,Turkish Standard,Turkish Standard,1,100 %,0 %,0
7b,The Lycian Highway,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a+,T�rkiye'ye,,Mevlana,Mevlana,1,0 %,100 %,5
7a,Soldan 3.rota,,Esekuctu,Esekuctu,1,100 %,0 %,0
7a+,eksplorer,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7a+,Sailerin Sultani ext.,,Barbarossa,Barbarossa,1,0 %,0 %,1
7a+,Ah war ich doch,,Unknown Sector,Unknown Sector,1,100 %,0 %,1
8b,Professur,,Trebena,Trebenna West,1,0 %,0 %,0
7c,Tanya,,Trebenna,Trebenna West,1,100 %,0 %,0
7b,Semazenin sagi,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6a,Mıss pıggy,,Kanyon left,Kanyon,1,100 %,0 %,0
5b,Hapy birtday peter,,Gizmo 3,Gizmo,1,100 %,0 %,0
7a,L empireConre AttaqueExt,,Ottoman,Ottoman,1,100 %,0 %,5
7c,selamin aleikum,,Anatolia,Anatolia,1,100 %,0 %,3
